Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar
UVUCEV_clean,0.0001069342,0.048960805,0.09376077,0.417091545
UVUDEW_clean,2.63228e-05,0.012980189,0.025413109,0.118933033
UVUDUM_clean,2.22109e-05,0.013688909,0.026889812,0.131578141
UVUFUN_clean,0.0005106486,0.235860415,0.446277261,1.707175298
UVUQAE_clean,0.0002544804,0.134881437,0.266163208,1.098015754
UVUQOT_clean,0.0001586675,0.097708527,0.190687696,0.805903016
UVUWAL_clean,0.000462876,0.202237207,0.398655104,1.593160898
UWALEL_clean,0.000273705,0.134255284,0.266206389,1.139902542
UWELIS_clean,0.0004594766,0.21618968,0.419855644,1.805414492
UWODAN_clean,6.8562e-05,0.03158061,0.063580382,0.300583764
UWOWAF_clean,0.0004566269,0.186171175,0.360457993,1.412390836
UWUKII_clean,0.0001888932,0.09671096,0.193249556,0.856909308
UWUTIQ_clean,0.0004520283,0.209248416,0.408621521,1.620476219
UXABOL_clean,7.7283e-06,0.00618597,0.012410581,0.061256887
UXACAY_clean,1.08762e-05,0.006780792,0.013474576,0.065609951
UXAXEY_clean,0.0001865962,0.088978958,0.174307216,0.700129888
UXINAR_clean,0.0002149344,0.108890777,0.210165762,0.851185752
UXIQOJ_clean,0.0001336031,0.065978047,0.131809349,0.631592394
UXISUR_clean,0.0002447574,0.120983151,0.235013641,1.034963619
UXOHOG_clean,0.0004562269,0.20704945,0.407093536,1.644677412
UXUNUX_clean,0.0002992701,0.16475442,0.330390025,1.518932881
UXUPEJ_clean,0.000322131,0.166005536,0.329201258,1.526321112
UXUPIN_clean,0.0003200527,0.164317985,0.333332847,1.522578157
UXUZAP_clean,0.000446943,0.203616554,0.389549711,1.379392484
UYAMIS_clean,0.0001023636,0.058948638,0.118224272,0.52617734
UYAMOY_clean,0.000361574,0.192117733,0.367902113,1.472790082
UYAQAN_clean,0.0001118246,0.058504746,0.114443118,0.503907558
UZANOZ_clean,0.0001539045,0.07629301,0.147791896,0.643028261
UZAROE_clean,0.0001287975,0.062301169,0.121124806,0.547753492
UZATAR_clean,4.43591e-05,0.021664211,0.044897953,0.204889556
UZEKEQ_clean,7.44826e-05,0.034227074,0.06710997,0.302949756
UZIJUJ_clean,0.0002799085,0.136936344,0.271869962,1.132172555
UZOBAN_clean,0.0003686263,0.179296576,0.350349028,1.561594567
UZOBES_clean,0.0003098708,0.147320115,0.289339172,1.181977054
UZUNAF_clean,4.76503e-05,0.032899602,0.064862469,0.310363603
UZUNAF01_clean,5.69479e-05,0.032779895,0.064660246,0.314560313
UZUTUG_clean,0.0002239593,0.10376736,0.202784225,0.839303296
UZUXOE_clean,0.0001922366,0.086325984,0.159174045,0.558985601
UZUZUL_clean,0.0005766197,0.242464437,0.469660897,1.717669206
VACFUB_clean_h,9.51011e-05,0.036587001,0.072763094,0.354212056
VACFUB01_clean,6.63913e-05,0.040400016,0.079822107,0.396560748
VADWON_clean,0.0001440406,0.081516212,0.157044642,0.645412286
VAFWAB_clean,0.0002879247,0.132573171,0.255739009,0.989536589
VAGJET_clean,2.68001e-05,0.009981689,0.020171079,0.094430076
VAGMAT_clean,0.000252702,0.140139052,0.284356871,1.37536221
VAGMEX_clean,0.0002566505,0.144442883,0.283997561,1.360697597
VAGTAA_clean,0.0001575282,0.070301698,0.138621691,0.676136365
VAGTAA01_clean,0.0001464998,0.076739077,0.152855013,0.719233596
VAGTAB_clean,0.0007309167,0.301562377,0.542653672,1.444265463
VAGTUU_clean,0.0002564102,0.137931696,0.267454497,1.102456794
VAHJEW_clean,0.0003169111,0.157415543,0.305931311,1.197677249
VAHJIA_clean,0.0003694131,0.16861229,0.313833928,1.076842999
VAHQAY_clean,0.0001724923,0.088254988,0.171167296,0.660271446
