Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
AWAKEQ_clean,3.064253576,3.42824335,4.176981907
AWAREV_clean,1.025773805,1.300643839,1.737543594
AWARIZ_clean,1.031515999,1.304683573,1.724960198
AWAWUR_clean,5.139347526,5.570075883,6.709656013
AWEJIW_clean,5.457260986,5.646472627,6.587608865
AWEVIJ_clean,1.588554603,2.478433079,5.703886752
AWEWOP_clean,5.775796483,6.418521042,7.549015143
AWIBAL_clean,4.459249355,4.667570296,4.917771704
AWIBEO_clean,0.158547705,0.253590018,0.671060237
AWIBIS_clean,0.179995521,0.279817272,0.700806159
AWOFOI_clean,7.198774813,7.830061334,8.513854291
AXIGAR_clean,0.561451212,1.105597895,5.28981255
AXINAX_clean,19.52705258,22.21872376,28.84599573
AXINAX01_clean,17.65015076,19.96863487,28.22455286
AXINIF_clean,13.81657522,14.99161854,18.38520501
AXUBAW_manual,14.35090573,14.48305637,14.98533139
AXUBOL_clean,8.99935966,9.394406389,10.44461804
AXUHAD_clean,7.212178124,8.01874393,10.00079775
AXUHEH_clean,1.750322153,2.056194042,3.341844688
AYOQEM_clean,14.61370507,15.40320293,17.35681572
AYOXUJ_clean,3.377689506,3.735448052,4.811362751
AYUJIP_clean,4.106412278,4.582055878,5.507148197
AZAFIS_clean,3.146431048,3.533212961,4.839106708
AZAVOO_clean,8.688655081,8.826744462,9.066717314
AZAVUU_clean,7.40787641,7.532678935,7.732993907
AZAWAB_clean,8.858043472,9.0618653,9.21931756
AZEBUE_clean,3.478544074,3.522008799,3.577731215
AZIVAI_clean,1.508631084,3.241214489,12.35551695
AZIXUD_clean,6.839133054,7.324175367,8.08497587
BABREE_clean,12.3572543,12.66991383,13.70005319
BACGAQ_clean,4.380163077,4.877976497,5.819542772
BAEDTA01_clean,0.808124881,0.960180372,1.233605713
BAFHAU_clean,0.193440019,0.390876221,2.115707219
BAKGIF_manual,1.02546761,2.224246474,6.529957824
BAKJEE_clean,10.9364431,11.25188176,12.62334047
BAKJII_clean,10.37664654,10.69270741,11.99724635
BAKJOO_clean,5.310297116,6.057156707,8.2690059
BAKYIY_clean,2.078755088,2.21920751,3.228798486
BAKYOE_clean,3.870860155,4.432758536,6.615096516
BAMKIM_clean,3.54649334,3.638749313,4.203895516
BAMKOS_clean,3.539212018,3.614486069,4.137024796
BAPDAA_clean,2.156401599,3.158428745,4.52842645
BARZUR_clean,3.638951978,4.93867598,7.242375261
BASJUB_clean,4.883987788,5.279029275,6.396698698
BAWROI_clean,10.36545945,12.07924014,17.63281425
BAXFIR01_clean,2.270411159,2.878678184,3.824172432
BAXGAK_clean,2.274052136,2.87321173,3.781506727
BAXSIE_clean,0.273514349,0.534585998,1.603529361
BAZFUF_clean,19.4922692,24.60959064,35.84568604
BAZFUF01_clean,19.62941223,24.80663411,35.7505743
BAZGAM_clean,14.55162086,18.33540015,32.52156283
BAZGEQ_clean,15.9086487,18.54965677,27.60524872
BAZJET_clean,1.923838217,3.474775239,8.588863549
BAZJIX_clean,2.090761709,3.281330956,8.474544201
BEDYEQ_clean,16.51866421,18.03824306,21.70864498
BEFLUV_clean,3.908185761,4.429209575,5.479358862
