Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
IHAJEH_clean,7.75921e-05,0.043688257,0.086969155,0.415568008,1.128646282
IHAJIL_clean,0.0003238339,0.155822245,0.300750385,1.156579116,2.303650799
IHUTIQ_clean,7.46874e-05,0.039455102,0.077914371,0.351143409,0.805687375
IJAPIU_clean,0.0005596353,0.25715241,0.484551595,1.939017852,4.377568305
IJAPOA_clean,0.0004481431,0.231129265,0.440674053,1.774148757,4.113916896
IJEVEA_clean,0.0001913555,0.091273133,0.17687707,0.683647627,1.377717213
IJEVIE_clean,0.0003827324,0.176264603,0.334253406,1.270735606,2.56559511
IJEXIF_clean,0.000263958,0.136765115,0.26445107,1.192891019,2.973962673
IJEXIF01_clean,0.0003062909,0.140764328,0.280178983,1.219012902,3.014711815
IJEXUS_clean,0.0001885164,0.076560297,0.1543271,0.718976573,1.745898524
IJUTEM_clean,0.000357796,0.173953391,0.332153319,1.308740888,2.720746257
IKEBUV_clean,0.000110085,0.064711113,0.127322748,0.594773573,1.574504983
IKEBUV01_clean,0.0001478284,0.06347187,0.125094313,0.581571235,1.561672217
IKETIB_clean,0.0002635373,0.125272844,0.24175698,1.091673885,2.740883094
IKETOH_manual,0.0002376537,0.135746739,0.265319649,1.115481713,2.737997515
IKETUN_clean,0.0002413584,0.121197148,0.235859355,1.073228232,2.697314639
IKOPEF_clean,0.0001774418,0.096277193,0.189710807,0.81453588,1.945103056
IKOPIJ_clean,0.0001836877,0.0847344,0.169352656,0.783110134,2.071338408
IKOSOQ_clean,0.0003364036,0.162007931,0.311721381,1.221856848,2.444705267
IKOTEH_clean,0.0002955947,0.139906113,0.28122659,1.15685959,2.576958455
IKUBUL_clean,0.0004460142,0.211158446,0.400044438,1.479116185,2.673297933
IKUBUL01_clean,0.0004742685,0.231891041,0.431842624,1.55636039,2.730899351
ILEHUD_clean,0.0003505663,0.165476848,0.310968813,1.107622964,1.981412119
ILIFUE_clean,4.43508e-05,0.029515455,0.059287678,0.261440943,0.593803478
ILIMOH_clean,0.0001297395,0.061264635,0.119764255,0.538311153,1.354769933
ILIMUN_clean,0.0003312497,0.155803304,0.295805997,1.081675245,2.128697629
ILINIC_clean,6.1901e-05,0.024520672,0.047496766,0.2261019,0.579190343
ILITON_clean,0.0003233226,0.155433328,0.312164532,1.420142934,3.920229218
ILITUT_manual,0.0003109276,0.140831126,0.285041545,1.333964101,3.779824512
ILOJOJ_clean,0.0001980332,0.092054508,0.181470636,0.740027479,1.54596908
ILOWAI_clean,0.0006238089,0.289682969,0.548634496,1.991334946,3.581143386
IMAGAG_clean,0.0004637471,0.200846516,0.401060034,1.773521381,4.469632151
IMAXOL_clean,0.0004165581,0.197744403,0.390547513,1.624410292,3.6593202
IMAXUR_clean,0.0003551683,0.155677545,0.300989943,1.335428197,3.237234455
IMEDOV_clean,0.000152193,0.072928583,0.144756374,0.622995715,1.524606743
IMISIH_clean,0.0002730505,0.12297512,0.236551001,0.887536653,1.681592017
IMUKUW_clean,0.0002774336,0.136117434,0.269296969,1.280969098,3.594777062
IMULEH_clean,0.0003048608,0.144850567,0.289579971,1.308797347,3.34569607
INAMUG_clean,9.83017e-05,0.04396253,0.089006379,0.349137172,0.708499163
INARUM_clean,0.0002265514,0.107940419,0.215411372,0.841831051,1.739076577
INASAT_clean,0.0009854511,0.407822804,0.723616339,2.065798168,3.382234614
INEPEY_clean,0.0004810534,0.187988154,0.327529404,1.008293272,1.998606949
INEXEG_clean,0.0005460951,0.243475191,0.464760523,1.713382172,3.198219159
INIGOD_clean,0.0008991794,0.252566037,0.382377599,1.103958818,2.223711646
INIQUR_clean,0.0001133353,0.049235775,0.096916338,0.444572246,1.047641754
INIRAY_clean,0.0001084628,0.048933412,0.095065564,0.435534486,1.068673604
INIRAY01_clean,7.92613e-05,0.046715487,0.092841381,0.414631061,0.985383207
INOMIJ_clean,0.0001795907,0.096503912,0.192290909,0.90335407,2.488457469
INOMOP_clean,0.000267576,0.127528682,0.244477213,1.036593215,2.365101888
INOMOP01_clean,0.0002457735,0.119721411,0.235896944,1.01497506,2.367856929
IPEBEM_clean,0.0013509003,0.490394233,0.817430712,1.815140276,2.502467094
IPICOA_clean,0.0003551968,0.166750773,0.319864814,1.239691339,2.432480554
IPIHIA_clean,0.0001504495,0.069555632,0.136625576,0.602433534,1.448820909
IPIJEY_clean,0.0002137234,0.107186578,0.207928967,0.837332522,1.769330848
IPIJUM_clean,3.91404e-05,0.025219464,0.051290885,0.249565713,0.668973362
IPIVOT_clean,0.0002202958,0.099379738,0.191067133,0.702145112,1.409301607
