Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
LAWFUL_clean,0.0001613272,0.0772341435,0.1543759551,0.7370909281,0.00017900945525576266,0.0006066618071832308,0.00015864570336879,7.881732239637742e-06,Sips,[9.61566351 0.01631657 1.01084322]
LAWFUN_clean,0.0001437026,0.0811184016,0.1602797108,0.7030974282,0.00019338124486425353,0.001463628405154756,9.758544833172784e-05,5.2722668280706365e-06,Sips,[4.07802302 0.04091127 1.01135717]
LAWGAS_clean,0.0001390052,0.0769277233,0.1537357194,0.7365988293,0.0001570584663842942,0.0005515759798958926,0.0001354118918728145,3.5249767248884893e-06,Sips,[10.49553456  0.01486548  1.00955634]
LAWGEW_clean,0.0001664004,0.0774127196,0.1552394109,0.7608516897,0.00017555566167974326,0.00035559574770967776,0.00016369360191915253,1.036935398234145e-05,Sips,[1.68525311e+01 9.29726484e-03 1.01054900e+00]
LAWGIA_clean,0.000133932,0.0767024739,0.1526865851,0.756273649,0.0001174308060028816,2.3456851259073147e-05,0.00011290632676939291,,Freundlich,[0.15270957 1.00598448]
LAWGOG_clean,0.0001745175,0.0772503777,0.1537945683,0.772917749,,0.00021273859692293984,0.00015943115139038317,,Quadratic,[1.88231076e-04 1.53614255e-01 1.37468625e-04]
LAWGOI_clean,6.77552e-05,0.0259841193,0.0509883941,0.2389869238,0.00011975859385712649,9.24430212542909e-05,0.00011492990506605628,3.980070500576597e-06,Sips,[6.56193125 0.00783116 0.9780512 ]
LAWGUM_clean,0.0001501662,0.076012521,0.1517084753,0.7568337284,5.964039845081534e-05,3.4399305833787197e-05,5.584784251242056e-05,,Freundlich,[0.15174845 1.0015693 ]
LAWHOJ_clean,7.78318e-05,0.0390736297,0.0795731377,0.3736174563,0.0004507624519056573,0.0007274306661504857,0.00041166685319063304,1.0347434734370816e-05,Sips,[2.20937775 0.03736161 1.05324352]
LAWHUP_clean,7.99073e-05,0.0395925083,0.0802632461,0.3811391197,0.0003503335896440512,0.0005814474624441815,0.00032079139911957166,8.81925660079868e-06,Sips,[2.79442056 0.029572   1.04095297]
LAXCUK_clean,0.0001836892,0.0802788802,0.159486987,0.7389971429,0.00011355464996411057,0.0008530064414331824,8.303616321171158e-05,1.3934067501556247e-05,Sips,[7.13233147 0.02287253 1.00662564]
LAXJAX_clean,0.0003874095,0.1910316331,0.3699690455,1.5801377651,0.0008682631510923518,0.0027604894773602725,0.0010848287493946324,2.934671111383536e-05,Sips,[10.90289793  0.03512509  0.97791459]
LAYGAV_clean,0.0001946656,0.1033928102,0.2031791351,0.8996671629,5.918542431661072e-05,0.0014603405574698922,0.0001447684059148854,9.510617347742785e-06,Sips,[6.50335922 0.03224978 0.99729722]
LAZGOK_manual,2.50987e-05,0.0157575341,0.0308684083,0.1517672137,0.000126491749132466,8.566796957123663e-05,0.00011919498478860099,,Freundlich,[0.03096844 1.01264617]
LAZJIH_clean,0.0002005572,0.0897555439,0.1737865411,0.8116971429,0.0009065280276572353,0.00011168021476714482,0.000866594118006736,,Freundlich,[0.17391732 1.04472532]
LAZKUU_clean,0.0002590014,0.1132426202,0.2253197339,0.9740367543,0.0007195031109173403,0.0026679232880965284,0.0005420179190374755,3.316110870814474e-05,Sips,[4.47162387 0.05306235 1.03011618]
LAZXOB_clean,0.0001145159,0.0588707388,0.1159688662,0.5221616953,3.229173112206845e-05,0.0007171698792007959,6.784309733860521e-05,3.390351347599353e-06,Sips,[4.36021707 0.0273238  0.9974001 ]
LECFAC_clean,0.0002216776,0.1071403683,0.2113431506,0.9326878407,0.00013718400663184052,0.0017443830592388766,3.384367879694463e-05,5.795503132083005e-06,Sips,[5.936464   0.03691503 1.00610222]
LECFEG_clean,0.0002317525,0.1009165716,0.1960503005,0.874854839,0.0006024434103043122,0.000812296941740247,0.0006329906295032898,5.993265916737213e-06,Sips,[10.61499345  0.01881674  0.97118122]
LECGIL_clean,0.0001008549,0.0459835234,0.0921782117,0.4515934987,9.779849301163301e-05,0.00020745139234363037,9.148574062478039e-05,6.991263488617428e-06,Sips,[1.01762366e+01 9.14096550e-03 1.00988875e+00]
LEDLAJ_clean,0.0001321066,0.0614534374,0.1214480813,0.5236155547,0.00021899485635356794,0.0013017591328692262,0.0001293504332720748,9.437170342704597e-06,Sips,[2.61972135 0.0486127  1.01699581]
LEDLEN_clean,0.0001400804,0.0671327135,0.1336643844,0.6160100399,0.00018057232773454316,0.0008386330379909373,0.0001440596707423947,7.168047065023642e-06,Sips,[5.11281702 0.02684477 1.01266707]
LEGGEK_clean,0.0003641,0.1700492036,0.3155909323,1.1522476425,0.0019609231994724948,0.004128451991142618,0.0028074828056411164,7.330785837703394e-05,Sips,[4.5694427  0.07419036 0.94071063]
LEGGIO_clean,0.0002521312,0.1220637224,0.2357483114,1.0429403089,0.0009677492540600402,0.0008769661327360724,0.0010092662299558913,3.0355820652862394e-05,Sips,[13.9903183   0.01713972  0.96152038]
LEHXUT_clean,0.0002415923,0.1415506321,0.2754826782,1.3055874293,0.0012401150515854915,0.0002459272572032459,0.001188028174626817,,Freundlich,[0.27576567 1.03511271]
LEJBUX_clean,8.60187e-05,0.0434718914,0.0877552798,0.4252552367,0.0002526406126248704,0.00040523605068258926,0.00023273951386299055,5.905416939014477e-06,Sips,[4.77851248 0.0187081  1.02694783]
LEJCAE_clean,0.0001168556,0.0469937882,0.0937067984,0.4548456613,1.945695656341543e-05,0.0001869642846038103,1.6567322238359754e-05,1.1698749526370044e-05,Sips,[1.15108984e+01 8.20748907e-03 1.00155034e+00]
LEJCEK_clean,0.0003017313,0.1267515919,0.2484960759,1.2425129993,0.001091298849114788,0.0010179647134069493,0.0010061221710252913,,Quadratic,[-7.10310575e-05  2.48695952e-01  7.88645703e-04]
LEJRIC_clean,6.77757e-05,0.0302582915,0.0609196702,0.2981953289,0.0001234392486225653,0.0001951423646972,0.00011543179378238978,6.816840080050053e-06,Sips,[4.77066959 0.01293476 1.01891996]
LEJZOQ_clean,8.98514e-05,0.0625982819,0.1230361064,0.5315838375,6.884149479908323e-05,0.001160670713495184,2.1137845429607006e-05,1.7021583234004053e-05,Sips,[2.98063302 0.04305597 1.00510872]
LELDUD_clean,0.0002384846,0.1144019641,0.2278705995,1.1197678147,9.458770704799786e-05,0.00015705543288156983,8.824273917157539e-05,1.8886983372831877e-06,Sips,[8.09853710e+01 2.82166418e-03 9.96126981e-01]
LELMIA_clean,0.000150334,0.0729928324,0.1449834379,0.623566185,0.00043233657075406143,0.0017328406747594497,0.00031072590542091807,1.2275434914994743e-05,Sips,[2.83503987 0.05389594 1.02814818]
LELMIA01_clean,0.0001648825,0.0802282641,0.1569406515,0.6625819086,3.986977615173444e-05,0.0016550360285982454,9.355063676546408e-05,1.4580403205538988e-06,Sips,[3.33951519 0.04931247 1.00239678]
LELROL_clean,0.0002321943,0.1179157197,0.2341564498,1.0831350971,0.0001556338631248368,0.0012676120747728593,0.00010354966818047275,1.3541858207824288e-06,Sips,[10.32965672  0.02319414  1.00623206]
LENGAO_clean,0.0001729636,0.0778400921,0.1531940344,0.6793671287,7.462256411151579e-06,0.0011262509075429846,6.230666780763223e-05,7.324519380578233e-06,Sips,[4.81219528 0.03288126 0.99991241]
LENGES_clean,0.0126148223,1.521113628,1.7729449102,2.2078322327,0.026365310157195836,0.20185130081753588,0.22179327946330374,0.014586275614852042,Sips,[2.42277171 2.83391385 0.78313719]
LENKIA_clean,5.01606e-05,0.0264796335,0.0525579817,0.2627310996,8.71155595553823e-05,8.051481997134233e-05,8.154088645711428e-05,,Freundlich,[0.05265164 1.00126024]
LEQBUG_clean,0.0004868107,0.235870576,0.4448007007,1.7400360781,0.0023358877748164844,0.004444896983623924,0.003007277992386726,8.666291798140043e-05,Sips,[8.94333776 0.05233897 0.9502574 ]
LEQCAN_clean,0.0005780949,0.2438499579,0.4721931153,1.7707718157,0.0010708237720653416,0.009104855779830475,0.00013856511944948597,6.5406547999215e-05,Sips,[5.18310678 0.10023344 1.02164373]
LEQQAA_clean,0.0002310587,0.1181611421,0.2333873467,1.0762584709,9.778604438354067e-05,0.001073180059252392,0.0001367528974340349,6.752074188962625e-06,Sips,[11.96044524  0.01990163  0.99608278]
LEQQII_clean,0.0001660564,0.0738142524,0.1478338904,0.715126234,0.00018053037796122382,0.00047044397921795593,0.00016670220998361697,1.3817642259462251e-05,Sips,[11.47197945  0.01305472  1.01138813]
LEQVUZ_clean,0.000206752,0.1038233412,0.2092154916,0.9784031393,0.0007363269553255263,0.0015469009299112434,0.0006603554003906913,1.7557235523765595e-05,Sips,[7.00892873 0.03076822 1.03303472]
LETDEU_clean,3.06042e-05,0.0137680432,0.0278210876,0.1349432731,8.541575515889243e-05,0.0001318233851326336,7.939024689993166e-05,3.6779161080274303e-06,Sips,[1.48047908 0.01915179 1.02872311]
LETDUK_clean,0.0001048763,0.0582241349,0.116836114,0.566688001,0.0001828825962505258,0.0003902702315565669,0.0001650369181436785,1.0812406526270725e-06,Sips,[8.68003474 0.01364398 1.01463981]
LEVDIB_clean,0.000277091,0.1289068585,0.2578033584,1.1250410945,0.0010308043435522988,0.0030987230470596754,0.0008314853870428973,3.39527321035641e-05,Sips,[5.11306292 0.05309758 1.03772139]
