,Adsorbent,CO2_20C_0.5bar,CO2_20C_1bar,CO2_20C_5bar
4558,UKIQIP_clean,15.89680339,16.54390896,18.02643315
4559,UKIQOV_clean,16.63268193,17.4224811,20.10561428
4560,UKIQUB_clean,14.80811753,15.43714246,18.34933334
4561,UKOLOV_clean,4.276794941,4.422528072,5.060072778
4562,UKOZOK_clean,3.262825274,3.545195782,3.743483871
4563,UKOZOL_clean,6.016199964,6.644978752,8.204886746
4564,UKUBIM_clean,5.298521858,5.77968271,6.617658988
4565,UKUBOS_clean,5.83828939,6.241472631,6.999253394
4566,UKUBUY_clean,6.14735758,6.582126748,7.308607858
4567,UKUCAF_clean,5.873516542,6.249704722,6.968844044
4568,UKUPIB_clean,10.28515052,10.74104348,11.99554824
4569,UKUPUL_clean,5.608304666,5.725913075,5.863585124
4570,ULAQAB_clean,7.677256667,7.675875047,7.712376842
4571,ULAQEF_clean,7.705356239,7.684358496,7.813281681
4572,ULASAD_clean,0.249557302,0.507432106,2.70390024
4573,ULEGOH_clean,1.145773023,1.240572612,1.370035355
4574,ULILEI_clean,2.544805629,3.065500508,3.794184539
4575,ULIMIN_clean,2.801781178,2.99987288,3.419866767
4576,ULOGAE_clean,9.621321803,9.855675487,10.33520473
4577,ULOJUC_clean,0.697251747,1.315158166,3.81477426
4578,ULOJUC01_clean,0.921205832,1.666658394,3.80902219
4579,ULOKAJ_clean,0.430892827,0.844530428,3.838666589
4580,ULOKEN_clean,0.461688557,0.911858668,3.814101095
4581,ULOKOX_clean,0.526166256,1.006922411,3.792525035
4582,ULOKUD_clean,0.589583044,1.187971062,4.098268935
4583,ULOKUD01_clean,0.809493338,1.528439733,3.849240524
4584,ULOLAK_clean,0.574397462,1.093246763,3.970230884
4585,ULOLEO_clean,0.471405182,0.924358312,3.850228005
4586,ULOLIS_clean,0.455042638,0.881726825,3.807191651
4587,ULOMAL_clean,0.425039045,0.842652241,3.816955854
4588,ULUVUT_clean,1.404034718,2.442514361,5.337412774
4589,UMABIV_clean,6.156031342,6.719608916,7.776478499
4590,UMABOB_clean,5.217130499,5.781380149,7.139166817
4591,UMEDEX_clean,0.470619961,0.921172245,3.851747359
4592,UMEDIB_clean,0.466432232,0.90988383,3.663487635
4593,UMEDOH_clean,0.470894131,0.922965199,3.86915026
4594,UMEKAA_clean,7.554919469,8.814599623,11.72408679
4595,UMEKEE_clean,9.298616872,10.74542593,13.91295666
4596,UMEKII_clean,3.339902691,3.851989903,5.335854748
4597,UMESIQ_clean,2.983944041,3.042757534,3.520530961
4598,UMEXUF_clean,2.170660757,2.34851064,2.7941694
4599,UMEXUF01_clean,2.200091361,2.295062792,2.621150541
4600,UMIGAA_clean,10.41324315,10.7770531,11.47754652
4601,UMOBEF_clean,16.56254353,18.28840747,22.69692485
4602,UMOBEF01_clean,16.42770091,18.00845345,22.53689435
4603,UMOBEF02_clean,16.40193556,17.97674017,22.35233157
4604,UMOBEF03_clean,15.53917854,17.03326983,21.31496802
4605,UMOBEF04_clean,12.8837477,13.76743971,17.12344345
4606,UMOBEF05_clean,12.77584915,13.6993696,16.35054754
4607,UMOBEF06_clean,12.78119584,13.73908594,16.17058074
4608,UMOBEF07_clean,12.60853913,13.36266048,15.56749155
4609,UMOBEF08_clean,12.61375674,13.41485697,15.4387803
4610,UMOBEF09_clean,12.34373181,13.04004163,14.88076093
4611,UMODEH_clean,15.76321878,17.00326926,20.20987792
4612,UMODEH01_clean,15.61218432,17.01386742,20.49957849
4613,UMODEH02_clean,15.76724194,17.12152398,20.94682613
4614,UMODEH03_clean,15.76620742,17.06683195,20.65576589
4615,UMODEH04_clean,15.92382344,17.104896,20.34974605
4616,UMODEH06_clean,15.48783081,16.86131565,19.97104326
4617,UMODEH07_clean,15.35151948,16.71991051,20.04625178
4618,UMODEH08_clean,12.28299563,12.98540047,15.83182274
4619,UMODEH09_clean,11.76847743,12.24153242,14.28062904
4620,UMODEH10_clean,11.56275751,11.93645515,13.79850305
4621,UMODEH11_clean,11.38534095,11.71388393,12.73531081
4622,UMODEH12_clean,11.40375554,11.72160512,12.84718101
4623,UMODEH13_clean,11.29775094,11.57697487,12.53034626
4624,UMODEH14_clean,15.9573093,17.2621015,20.43003525
