,Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
4594,UMEKAA_clean,0.0004959478,0.240493782,0.470276114,2.027277829,0.0002420019259684848,0.004040413348232755,0.0005274760917779688,4.788219457311682e-06,Sips,[12.34815242  0.03959262  0.99515359]
4595,UMEKEE_clean,0.0002860706,0.167375725,0.332591965,1.528035671,0.0003374825817123481,0.002046283000299215,0.000236446346880438,1.681136807269545e-05,Sips,[12.90407069  0.02645611  1.0095091 ]
4596,UMEKII_clean,0.0005916953,0.273236199,0.510327169,1.80296913,0.0017383649815825473,0.008915585584482268,0.0035273313667305893,5.619191860659307e-05,Sips,[5.57474689 0.10076767 0.96731038]
4597,UMESIQ_clean,0.0002444532,0.117450638,0.233128077,0.972097916,0.0008987366213989592,0.003402425311337252,0.000622109211517172,2.5551595011223472e-05,Sips,[3.69235255 0.06739298 1.03650489]
4598,UMEXUF_clean,0.0001650857,0.089146265,0.17566023,0.751673179,0.0002472864041090336,0.0018981345115190056,0.00010511062007375554,1.5485186793731108e-06,Sips,[3.72521052 0.04948804 1.01328445]
4599,UMEXUF01_clean,0.0001814128,0.092157718,0.179758346,0.766801195,0.00013027694695330743,0.0016230580394650592,0.0002559503055974779,7.473525560143636e-06,Sips,[4.45109291 0.04208488 0.99317954]
4600,UMIGAA_clean,0.0002558031,0.112402142,0.226990581,1.012768501,0.001224668497962159,0.002719351370441646,0.001067264443215132,4.394195867674648e-05,Sips,[4.64672878 0.05135816 1.05086134]
4601,UMOBEF_clean,0.0003464819,0.169979966,0.338254698,1.610468463,9.334665733332713e-05,0.0011107447276178695,6.46415519634048e-05,4.8191003691908925e-06,Sips,[2.49360471e+01 1.37514196e-02 1.00257845e+00]
4602,UMOBEF01_clean,0.0003294975,0.181583714,0.363140254,1.714416443,0.0005809616422377043,0.0018274598498083119,0.0005010522216959498,2.403588861121699e-06,Sips,[17.62316719  0.02103938  1.01498955]
4603,UMOBEF02_clean,0.0003362913,0.189427115,0.371150101,1.758032406,0.0011090985115405892,0.00022029625553463027,0.001074488957733219,5.741093603235702e-05,Sips,[1.50953088e+02 2.46478460e-03 9.72135368e-01]
4604,UMOBEF03_clean,0.0003362913,0.202787051,0.408617707,1.863379902,0.0017398316816915117,0.003927392529322185,0.0015138754315262269,6.93182822603431e-06,Sips,[10.44752573  0.04070339  1.04006435]
4605,UMOBEF04_clean,0.000604645,0.260938271,0.517069953,2.293686699,0.000767146920548447,0.004504098020939179,0.0005174220083459946,5.8472749198811414e-05,Sips,[13.92856708  0.03855411  1.01392261]
4606,UMOBEF05_clean,0.0004993416,0.259474214,0.510198061,2.177649216,0.0005224736037862872,0.00541016209064515,0.00011290055395959626,5.916762526015109e-07,Sips,[10.96276362  0.0488108   1.00966362]
4607,UMOBEF06_clean,0.0005570886,0.262290229,0.52155044,2.176300654,0.0021999067602900264,0.007764053665250818,0.0015759095107570125,6.712409610308715e-05,Sips,[8.13264474 0.06852481 1.03994633]
4608,UMOBEF07_clean,0.0005638824,0.267467077,0.522508361,2.198003332,4.1557864662663154e-05,0.0055376402501786815,0.0004145643793887913,9.081859636450812e-06,Sips,[11.01640201  0.04979163  1.00073289]
4609,UMOBEF08_clean,0.0005197229,0.266845448,0.512531719,2.178970604,0.0020733733164154554,0.0031660752460016994,0.002348540125429822,8.3308491022731e-05,Sips,[17.86166192  0.0295424   0.96196535]
4610,UMOBEF09_clean,0.0005706761,0.268540492,0.523459488,2.191080487,0.00012440200371966934,0.005550716535160686,0.00059692616959746,6.2060033248004454e-06,Sips,[10.95783866  0.05016679  0.99775814]
4611,UMODEH_clean,0.0004203795,0.1929706,0.38679838,1.799270133,0.0009786555031713595,0.0026300965993262273,0.0008619911829176132,4.134709493908487e-05,Sips,[13.90145159  0.02862059  1.02372652]
4612,UMODEH01_clean,0.0003382741,0.181919218,0.357713375,1.692756483,0.0007765386662838816,0.0004985791340377161,0.000761014925641357,3.783071578522866e-05,Sips,[6.04822810e+01 5.94955789e-03 9.79741379e-01]
4613,UMODEH02_clean,0.000351411,0.178421529,0.3517164,1.652557696,0.0004954969919672046,0.0008914453493178238,0.00050328854075998,1.8997440171020128e-05,Sips,[3.27389586e+01 1.08597388e-02 9.86833199e-01]
4614,UMODEH03_clean,0.0003579794,0.179479046,0.362219318,1.678213981,0.0014924142864239493,0.003085806857613247,0.0013334268022381335,3.5458418430236706e-05,Sips,[10.53653637  0.03560126  1.03871479]
4615,UMODEH04_clean,0.0003941058,0.196596373,0.393494894,1.799963102,0.0010688640483665554,0.003145975842765348,0.0009093611975193349,2.648986699915787e-05,Sips,[11.92636833  0.03411936  1.02551963]
4616,UMODEH06_clean,0.0004269479,0.210761191,0.418073957,1.903773843,0.00037623191104566196,0.0027540022556257703,0.0002466790052699367,1.065820301955049e-05,Sips,[15.04689834  0.02857876  1.00844579]
4617,UMODEH07_clean,0.0004729269,0.212170119,0.422044572,1.937620959,0.0005327635006831379,0.002711021544960158,0.00041735441080228964,3.664072689769374e-05,Sips,[15.71635016  0.02759482  1.01182043]
4618,UMODEH08_clean,0.0004696427,0.269092127,0.528505674,2.346196967,0.0002623629893770867,0.0036189706900654687,0.000473992089503148,4.633436307069491e-05,Sips,[17.7486361   0.03069124  0.99540833]
4619,UMODEH09_clean,0.0006535587,0.276353526,0.543826535,2.324590119,0.0006282035304088393,0.005781579632646872,0.00021586527039715617,6.221766931845379e-05,Sips,[11.68112137  0.04882916  1.0108478 ]
4620,UMODEH10_clean,0.0005517481,0.273624344,0.538259792,2.24052736,0.0010534720292364427,0.006971758776416571,0.000460925857799861,2.4705782615410233e-05,Sips,[9.40734397 0.06068937 1.0185149 ]
4621,UMODEH11_clean,0.0006404219,0.27671479,0.543084303,2.257240729,0.0008166126223648791,0.006853501013745088,0.00023861742829440403,5.9436981186903344e-05,Sips,[9.68531281 0.05940374 1.01418943]
4622,UMODEH12_clean,0.0006338534,0.278012054,0.536854148,2.272870306,0.001452509775360678,0.004109121346854024,0.0017883305957036896,1.4838756664459965e-05,Sips,[15.27320534  0.03643064  0.97451008]
4623,UMODEH13_clean,0.0006207166,0.275696683,0.539222067,2.258735046,0.00026058370065404053,0.00604921299989577,0.00024000490723640033,3.528269533835054e-05,Sips,[10.75611297  0.0527774   1.00452427]
4624,UMODEH14_clean,0.0004072426,0.201966064,0.395278223,1.823054415,0.0009653184689095124,0.0010738449802089858,0.0009770448585631963,3.0574680316197795e-05,Sips,[3.35668532e+01 1.19162038e-02 9.77156105e-01]
