Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
EXEQII_SL,0.0001337029,0.071563978,0.141486495,0.675516556,5.83716779260718e-06,Freundlich–Langmuir,[0.1720389  0.84505512 0.04434661]
EXEWIO_clean,0.0004676637,0.204226659,0.371455313,1.323695281,1.660385971742026e-06,Freundlich–Langmuir,[0.36565039 1.28854916 0.28718537]
EXEXAH_clean,0.000164342,0.077881189,0.156804015,0.75653146,,Freundlich–Langmuir,"[nan, nan, nan]"
EXIDOF_clean,0.0001820084,0.082078214,0.166401199,0.760486798,,Freundlich–Langmuir,"[nan, nan, nan]"
EXOTOB_clean,0.0001419913,0.067549001,0.134220646,0.65200764,2.8909068290508447e-06,Freundlich–Langmuir,[0.23013646 0.59187565 0.03168066]
EXOTUH_SL,0.0002785264,0.136752759,0.271568745,1.186773199,,Freundlich–Langmuir,"[nan, nan, nan]"
EXOZIB_clean,0.0001227351,0.053169685,0.108497815,0.529388165,,Freundlich–Langmuir,"[nan, nan, nan]"
EXUHEM_clean,0.0001979888,0.087479065,0.170040408,0.685269342,8.956721413681626e-06,Freundlich–Langmuir,[6.79365761 0.02650797 2.19391505]
EXUHUC_clean,4.4519e-05,0.020904865,0.040985067,0.191778443,6.679817155403553e-07,Freundlich–Langmuir,[0.0254246  1.69862917 0.05271379]
EYINOR_clean,0.0003064868,0.125537319,0.249499159,1.105113755,,Freundlich–Langmuir,"[nan, nan, nan]"
EYOCOM_clean,0.0002511428,0.106407827,0.214924208,0.958423872,,Freundlich–Langmuir,"[nan, nan, nan]"
EYULOA_clean,0.0003777373,0.165254291,0.303138488,1.037908134,4.490968329267278e-06,Freundlich–Langmuir,[0.59908427 0.61568707 0.40894622]
EYUWAW_clean_h,0.0002453664,0.112427194,0.221873693,0.954060221,,Freundlich–Langmuir,"[nan, nan, nan]"
EZABEN_clean,0.0001471405,0.074524262,0.144976831,0.626542427,3.3540521392307304e-06,Freundlich–Langmuir,[0.48709018 0.31587378 0.21662103]
EZEQEH_clean,0.0002562577,0.121150917,0.230290905,0.870271571,1.3159761016481993e-07,Freundlich–Langmuir,[0.97244657 0.26382128 0.46121338]
EZEQIL_clean,0.0001862017,0.103035892,0.199722491,0.81880248,1.3421437359287677e-05,Freundlich–Langmuir,[1.57318812 0.13543129 0.50892237]
EZEQOR_clean,0.0001732966,0.096450621,0.18846743,0.790249099,1.2096373053342272e-05,Freundlich–Langmuir,[7.56354967 0.02611187 1.81579147]
EZEQUX_clean,0.0002120118,0.102971366,0.198433828,0.822974504,1.5363009050504766e-06,Freundlich–Langmuir,[0.57471487 0.37428085 0.25373302]
EZESAF_clean,0.0002106445,0.104765695,0.201830304,0.728859031,,Freundlich–Langmuir,"[nan, nan, nan]"
EZIMEG_clean,0.0006879377,0.326864133,0.612690749,2.349864288,1.231628795463158e-05,Freundlich–Langmuir,[0.91050115 0.78277261 0.26155238]
EZIMIK_clean,0.0006702529,0.319031547,0.597685218,2.266982828,1.215759808104825e-05,Freundlich–Langmuir,[0.99552076 0.69783085 0.28416489]
EZITUE_clean,0.0001132335,0.058468407,0.114032014,0.432956427,,Freundlich–Langmuir,"[nan, nan, nan]"
EZIVAM_clean,0.0001073857,0.059371751,0.113766058,0.445196167,8.552936357388912e-06,Freundlich–Langmuir,[0.55552392 0.22411951 0.44600191]
EZOBUR_clean,0.0001180337,0.065767628,0.126775831,0.531408751,9.727308136036105e-06,Freundlich–Langmuir,[0.30517119 0.45057152 0.2183412 ]
EZOBUR01_clean,0.0005090615,0.212508398,0.37525694,1.103974884,4.963458653458062e-06,Freundlich–Langmuir,[0.73522925 0.67913743 0.55112986]
EZOBUR02_clean,0.0001644263,0.066939967,0.129763735,0.544395059,1.2907191119259943e-05,Freundlich–Langmuir,[0.57142661 0.24259029 0.3040529 ]
EZOFEF_clean,0.0003897824,0.200096217,0.385003839,1.514177732,1.3673904034154824e-05,Freundlich–Langmuir,[2.73240091 0.15267371 0.56466704]
EZOFUV_clean,0.0002684386,0.117122375,0.233463191,1.07801617,,Freundlich–Langmuir,"[nan, nan, nan]"
EZUCIM_clean,0.0003309597,0.170899329,0.335719341,1.429135809,,Freundlich–Langmuir,"[nan, nan, nan]"
EZULAO_clean,0.0002339016,0.111626333,0.216265389,0.849570892,1.6797606495071647e-06,Freundlich–Langmuir,[9.19822523 0.02506538 2.58486998]
FABCUI_clean,0.0001858545,0.091596931,0.180376698,0.773416099,,Freundlich–Langmuir,"[nan, nan, nan]"
FAFDEX_clean,7.75534e-05,0.02804229,0.055551822,0.255948066,,Freundlich–Langmuir,"[nan, nan, nan]"
FAFQEJ01_clean,5.45013e-05,0.029510473,0.0581569,0.285491225,,Freundlich–Langmuir,"[nan, nan, nan]"
FAGQAI_clean,0.0002695803,0.117218182,0.230545595,1.105395893,1.1366761391638263e-05,Freundlich–Langmuir,[ 0.02135617 11.56335623  0.02715992]
FAGREM_clean,6.30972e-05,0.031363724,0.062985707,0.306037694,,Freundlich–Langmuir,"[nan, nan, nan]"
FAGXIX_clean,0.0007571869,0.339186715,0.601176801,1.916621108,2.4941122089389756e-05,Freundlich–Langmuir,[0.73727035 1.0951465  0.39878856]
FAHGAY_clean,0.0002264747,0.111369546,0.219278657,1.006855412,1.1578087417965917e-07,Freundlich–Langmuir,[0.81821455 0.27708481 0.13635461]
FAHPOV_clean,0.0003313805,0.163865475,0.317693187,1.330120515,3.907204148436613e-06,Freundlich–Langmuir,[1.49398164 0.22705732 0.32040612]
FAHQIR_clean,0.0002177157,0.110917137,0.213958478,0.802373765,,Freundlich–Langmuir,"[nan, nan, nan]"
FAJYAS_clean,0.0001812611,0.084503908,0.169638289,0.769721167,,Freundlich–Langmuir,"[nan, nan, nan]"
FAKHIK_clean,0.0002630883,0.13726106,0.268193093,1.059517981,,Freundlich–Langmuir,"[nan, nan, nan]"
FAKLIO_clean,0.0002435169,0.138873836,0.281115894,1.285310325,,Freundlich–Langmuir,"[nan, nan, nan]"
FAKLOU_clean,0.000212301,0.122020026,0.247125051,1.141264076,,Freundlich–Langmuir,"[nan, nan, nan]"
FAKLUA_clean,0.0003014262,0.162525993,0.324907501,1.494794718,,Freundlich–Langmuir,"[nan, nan, nan]"
FAKMAH_clean,0.0002960653,0.156508944,0.309457415,1.413907748,,Freundlich–Langmuir,"[nan, nan, nan]"
FAKNIR_clean,0.0002268645,0.114846039,0.225555911,1.000377059,3.6262059845743394e-06,Freundlich–Langmuir,[2.18404764 0.10719822 0.36620217]
FALBAX_manual,0.0002659038,0.148435957,0.294533369,1.388967017,1.6682191361923995e-05,Freundlich–Langmuir,[7.91761231 0.03779835 0.43024246]
FALDAA_clean,0.0001947009,0.100967315,0.204509264,0.892069216,,Freundlich–Langmuir,"[nan, nan, nan]"
FALRIV_clean,0.0004910061,0.220434359,0.420442561,1.632975188,1.2836467637014194e-05,Freundlich–Langmuir,[1.54057635 0.30208675 0.38475495]
FALRIV01_clean,0.0004803651,0.216206842,0.411390112,1.598965038,1.1026222690077315e-05,Freundlich–Langmuir,[1.24247381 0.36891827 0.34436476]
FALROB_clean,0.0004210795,0.200646663,0.39633158,1.53737342,0.001690653705159757,Freundlich–Langmuir,[3.18857805e+03 1.31734608e-04 4.73744891e+02]
FALSAO_clean,0.0004649413,0.2111434,0.406158571,1.570753435,1.2514144498099017e-05,Freundlich–Langmuir,[4.10158551 0.10726349 0.78434637]
FAMPUH_clean,0.0003992427,0.162290902,0.31674444,1.402730463,3.2590799482372135e-05,Freundlich–Langmuir,[0.84791574 0.39400545 0.16044214]
FAMQAO_clean,0.0003509267,0.155335941,0.307396565,1.332486627,,Freundlich–Langmuir,"[nan, nan, nan]"
FAMQES_clean,0.000338212,0.164760104,0.322262636,1.37674154,5.256445367629026e-07,Freundlich–Langmuir,[5.29697414 0.06365454 0.73309146]
FANCIJ_clean,0.0002345993,0.126578258,0.246202038,1.100016294,1.4100728921095774e-05,Freundlich–Langmuir,[0.32120806 0.81823426 0.10927142]
FANQER_clean,6.34044e-05,0.02696378,0.052567887,0.255564836,,Freundlich–Langmuir,"[nan, nan, nan]"
FAPXEC_clean,0.0001420109,0.073293423,0.146075155,0.699554893,,Freundlich–Langmuir,"[nan, nan, nan]"
FAPXIG_clean,0.0001516892,0.0765374,0.152182777,0.717012307,,Freundlich–Langmuir,"[nan, nan, nan]"
FAPXOM_clean,0.0001562173,0.07654872,0.153638541,0.724900147,,Freundlich–Langmuir,"[nan, nan, nan]"
FAQGEL_clean,0.0001806718,0.10476805,0.203851887,0.829041322,1.7391482261136817e-05,Freundlich–Langmuir,[7.16818775 0.03005871 1.87100792]
FAQGIP_clean,0.0002363962,0.11797471,0.227586208,0.948199858,4.851042619754039e-06,Freundlich–Langmuir,[0.66764061 0.36864255 0.24948433]
FAQLUH_clean,0.0001510275,0.072745666,0.142558694,0.692292048,,Freundlich–Langmuir,"[nan, nan, nan]"
FARBIL_clean,0.0001431185,0.076727571,0.149553959,0.666698818,7.683742475219802e-06,Freundlich–Langmuir,[0.27346493 0.57958914 0.1270441 ]
FARFIO_clean,0.0001184976,0.062691156,0.124153887,0.583839656,4.106173762470567e-06,Freundlich–Langmuir,[0.8479363  0.14943647 0.14647402]
FARFOU_clean,0.0001263974,0.065738519,0.129383581,0.607801846,4.017493498034959e-06,Freundlich–Langmuir,[0.14317642 0.93897758 0.05788955]
FARFUA_clean,0.0001224475,0.064322473,0.127969509,0.592434682,,Freundlich–Langmuir,"[nan, nan, nan]"
FARHIR_ion_b,0.0001373682,0.058142478,0.112883719,0.455745672,8.747347965608953e-06,Freundlich–Langmuir,[2.28628622 0.05243487 1.17680967]
FARHOX_ion_b,0.0001652958,0.075052828,0.144429845,0.620325687,3.5302302841428333e-06,Freundlich–Langmuir,[0.17752798 0.89144136 0.14343838]
FASVIH_clean,7.92085e-05,0.037464002,0.075521258,0.366463758,,Freundlich–Langmuir,"[nan, nan, nan]"
FATKIV_clean,0.0001241879,0.06985322,0.135823498,0.594446168,1.0181908193184895e-05,Freundlich–Langmuir,[0.30663814 0.47144267 0.16143713]
FATKUI_clean,4.73172e-05,0.021483998,0.042021651,0.198376538,8.30439192022118e-07,Freundlich–Langmuir,[5.70352330e-03 8.00752249e+00 3.78885197e-02]
FATLUJ_clean,6.43338e-05,0.040526416,0.079897398,0.369459846,9.020709198172997e-06,Freundlich–Langmuir,[0.29781218 0.27660986 0.12518893]
FATQID_clean,0.00019399,0.11043503,0.217383214,1.057593735,,Freundlich–Langmuir,"[nan, nan, nan]"
FATVOM_clean,0.0001232005,0.056697699,0.110718975,0.461755308,3.517889092051271e-06,Freundlich–Langmuir,[4.73995787 0.02450875 1.98500566]
