Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
BIHBEB_clean,0.0014320758,0.566285606,0.937161655,2.533941918,4.657135188,0.12689395222330543,0.04891433771846779,0.13039489997308815,0.01031013993140961,Sips,[17.2381678   0.05646384  0.6942902 ]
BIJDUV_clean,0.0001956246,0.106180706,0.20854021,0.928088922,2.30713393,0.0030446339715338206,0.016722166704704375,0.0036350151507192163,0.00037736792879962595,Sips,[10.17304299  0.02087438  0.97586694]
BIJFAD_clean,0.000261958,0.122120694,0.235075155,1.03197214,2.584919043,0.005906916811658869,0.015510404895524875,0.005549170990796149,3.523131325192849e-05,Sips,[13.4100422   0.01784511  0.95782951]
BIMDIL_clean,0.0002638068,0.126036818,0.247601484,1.024657742,2.323102032,0.0056315693528708145,0.027908171195945904,0.0079706472279188,0.0013217734438668103,Sips,[7.14697243 0.03560647 0.96177474]
BINCUY_manual,0.0002485046,0.131481543,0.260829818,1.200285451,3.270874471,0.005124477144528348,0.008083760732235079,0.004219684892005002,0.0009410628336856007,Sips,[3.60273050e+01 7.25571146e-03 9.68194795e-01]
BINDAF_manual,0.0002534398,0.137637182,0.268550944,1.232824805,3.307231166,0.00517535235300488,0.010400821424002329,0.0042517847893731794,0.00010484021123397181,Sips,[2.92256151e+01 9.26933852e-03 9.68298737e-01]
BINMIW_clean,0.0009430695,0.341985295,0.539001334,1.245242656,2.195904321,0.09087745845826056,0.014486522948480957,0.09276063320962938,0.010636425877559374,Sips,[16.42311326  0.03285667  0.57109414]
BINROH_clean,0.0004038767,0.201846554,0.399388149,1.799628626,4.621097398,0.006402611889769376,0.025346045511003657,0.006593911074956223,0.001246914727106708,Sips,[2.54518791e+01 1.58715553e-02 9.73919109e-01]
BINRUN_clean,0.0004844997,0.225552901,0.441095854,1.930237725,4.728625807,0.008387526220408548,0.0363775587741416,0.009524915350211554,0.000954918921367601,Sips,[20.0412572   0.02243484  0.96825826]
BINSAU_clean,0.0004491093,0.193084232,0.379371008,1.744621036,4.477015772,0.0028099589001401655,0.02741318182817653,0.0037230301190864044,6.950048090855568e-05,Sips,[2.22697666e+01 1.73348824e-02 9.87869566e-01]
BIPBAF_clean,0.0002138392,0.129671231,0.257472958,1.176636321,3.163642677,0.005092068945494516,0.009668260274168696,0.00436226591369536,0.0010286473815001248,Sips,[2.88396816e+01 8.95760798e-03 9.68007452e-01]
BIPLIX_clean,0.000148579,0.071525016,0.140354598,0.64675675,1.696996952,0.001661886929842973,0.007990899132801148,0.0016449698426633248,3.093286599511671e-05,Sips,[10.50431299  0.01353845  0.98059439]
BIPSUQ_clean,0.0002606913,0.142412554,0.288625015,1.369048984,3.77082427,0.0020139628994514914,0.011342107267651193,0.002176282956728266,0.0013648527379660556,Sips,[3.40045588e+01 8.50426286e-03 9.91679468e-01]
BIQHEQ_clean,0.0007061313,0.32308663,0.589187127,2.016670713,3.535203132,0.013918811925405571,0.1109325474548047,0.04324257841693887,0.0014546025262524816,Sips,[5.96079722 0.11012596 0.95378121]
BIQVII_clean,8.19666e-05,0.038558725,0.075512544,0.337174502,0.778240021,0.0004901943072992183,0.010273589898108821,0.0006784822098147251,0.0001633498283091568,Sips,[2.18219089 0.03595575 1.01012263]
BIRGIU_clean,0.0001345299,0.067949433,0.134469301,0.618648371,1.597010511,0.0010407146036737144,0.009283553272395145,0.0013567111290928953,0.00017138402785705798,Sips,[8.28334513 0.01647195 0.98748602]
BIRMUM_clean,0.0001846266,0.075428049,0.145872972,0.601719735,1.168692018,0.003574086976892395,0.03227177963985463,0.0030752902938156286,0.0007771247201100541,Sips,[2.08956986 0.07564959 1.04134497]
BIRSEC_clean,0.0001226065,0.064036727,0.126208695,0.546023922,1.337174422,0.002925758081646197,0.009916790724458037,0.003165326540759642,0.0005903996616871257,Sips,[5.8675433  0.02183467 0.96157769]
BIRSIG_clean,0.0001484389,0.069645442,0.13646103,0.586067258,1.38931396,0.002551161178388128,0.013333694300557966,0.003331743284842509,0.0004154049168058797,Sips,[4.99202909 0.02798031 0.96872937]
BIWSEG_ion_b,0.0022356371,0.99006784,1.967999365,9.945870207,29.71065837,0.010856420129306491,0.013988970123725498,0.008760435697740147,0.004428928146558986,Sips,[1.55094300e+03 1.27441167e-03 1.00792148e+00]
BIWSIK_ion_b,0.0002851484,0.14047772,0.273979224,1.280505827,3.423687107,0.002918779086469112,0.013430528557594303,0.0026453069184250466,0.00044152092254421966,Sips,[2.46328900e+01 1.12729735e-02 9.82859234e-01]
BIWSOQ_clean,0.0007043288,0.362537908,0.695233945,2.54861924,5.020997595,0.02315597540164063,0.1045867892618677,0.0409788717872475,0.004615635499539586,Sips,[10.83099334  0.0678863   0.93938454]
